username,open,cons,extra,agree,neuro
ASK_THE_LEYLANDS,0.64809,0.56359,0.57094,0.58953,0.4583
ASN1972,0.64001,0.55849,0.56631,0.58739,0.46212
ASWh,0.64842,0.55595,0.56591,0.58237,0.45738
ATCMC,0.65649,0.56372,0.56818,0.58269,0.45197
ATJLancsUK,0.64856,0.55884,0.56705,0.58334,0.45745
ATP1,0.64654,0.5633,0.56854,0.58609,0.45282
AURACE,0.6438,0.56564,0.56896,0.58692,0.45425
AUandUKcitizen,0.64431,0.55423,0.56353,0.5802,0.46259
AVSENT,0.64672,0.56202,0.56906,0.58902,0.45651
AV_Surrey,0.63575,0.54729,0.56017,0.57642,0.46879
AZSoonerOrLater,0.64287,0.56652,0.5694,0.59087,0.45702
AZStaish,0.63912,0.55942,0.56771,0.58919,0.4592
A_Florida_Traveler,0.64417,0.55913,0.56511,0.58082,0.46024
AashishSharma,0.64855,0.56016,0.56861,0.58781,0.4541
Abc123XYZ3,0.65606,0.55915,0.56752,0.58202,0.45375
AbhishekBagri,0.64952,0.55897,0.56622,0.58175,0.45625
Abigailadamsn00,0.65971,0.56379,0.57058,0.58509,0.44823
Acatchyscreenname,0.64158,0.55807,0.56614,0.58546,0.45988
AceTexas,0.64398,0.55252,0.56202,0.57548,0.46446
AcerLeeds,0.64965,0.56178,0.56807,0.58652,0.45309
Activetravell3r,0.65856,0.56381,0.57084,0.5893,0.44935
AcuV,0.64998,0.56016,0.56947,0.59045,0.45322
Ad_Guy_Ed,0.63709,0.55562,0.56677,0.58961,0.46384
Adam20191,0.66074,0.5611,0.56907,0.58167,0.44932
AdamVancouver_BC,0.64346,0.5722,0.57281,0.59537,0.44948
AdarshP,0.64081,0.56934,0.56275,0.57962,0.46369
AdelaideNev,0.63381,0.55817,0.56589,0.58906,0.46673
AdiPanait,0.64891,0.55356,0.56077,0.572,0.45938
AdityaNewDelhi,0.64301,0.55541,0.56452,0.58238,0.46136
AdrianandLoretta,0.64055,0.55777,0.56361,0.5815,0.4619
Adventure2009,0.64519,0.56177,0.56736,0.5847,0.45451
Advisor1803,0.64688,0.55926,0.56527,0.58022,0.45862
Aelwyn,0.64809,0.56011,0.56591,0.5802,0.45513
AffairsinMiami,0.64254,0.55835,0.56665,0.58519,0.45753
AfricanHeather,0.63992,0.55753,0.56518,0.58535,0.46192
Agent9,0.64705,0.55672,0.5668,0.58454,0.45804
AggieAbroad,0.65381,0.57191,0.57346,0.59136,0.44544
AhNOUR,0.6386,0.55361,0.56354,0.58375,0.46596
AhmetD,0.64554,0.56469,0.56933,0.59192,0.45886
Aidasas,0.64515,0.5596,0.56736,0.58575,0.45859
Ainom,0.64275,0.55702,0.56483,0.58502,0.46123
Airpudin,0.64329,0.5612,0.56738,0.58608,0.46033
Aives,0.62917,0.55457,0.56328,0.58739,0.47075
Akis1966,0.52549,0.45613,0.51006,0.52168,0.54414
Akramdash,0.64088,0.56424,0.56731,0.58451,0.46504
AlNic,0.64019,0.55541,0.56554,0.58518,0.4617
AlabamaTraveler0,0.64335,0.55775,0.56756,0.5882,0.46008
AlaninVirginia,0.65428,0.56506,0.56935,0.58685,0.45245
Alanis628,0.65014,0.56182,0.5676,0.58414,0.45586
Alasunk,0.64572,0.56599,0.56962,0.58829,0.4549
Albela_Musafir,0.63508,0.55481,0.5652,0.58897,0.46663
AlbertasHome,0.6452,0.5605,0.56509,0.58335,0.45796
Albuq1,0.63849,0.55722,0.5653,0.58402,0.46005
Albymorkel,0.65066,0.56336,0.56879,0.58527,0.45271
Alchemy1200,0.64943,0.56449,0.5682,0.58527,0.45487
Alessandragerard,0.65892,0.5581,0.56445,0.58006,0.45453
AlexUkie,0.62996,0.55113,0.56132,0.58345,0.4724
AlexandrP,0.42623,0.38122,0.46915,0.48284,0.61205
Alexandriciul,0.6489,0.55404,0.56342,0.57676,0.45258
Alfanumeric,0.64278,0.5584,0.56456,0.58283,0.46163
Alfapair,0.63295,0.54209,0.55673,0.57284,0.47598
AliDUk,0.64297,0.55646,0.56473,0.58329,0.46175
Alicanteman,0.63762,0.55185,0.5633,0.58166,0.46639
AliceBlue-Chicago,0.65593,0.57221,0.5732,0.59259,0.44415
AliceMadera_CA,0.64075,0.56269,0.56778,0.58831,0.45582
Alice_W85,0.64618,0.55123,0.56321,0.57958,0.46282
Alison186470,0.64681,0.55668,0.56713,0.58617,0.45816
AlisonandBill,0.64568,0.55824,0.56701,0.58618,0.45808
Alkeshmehta,0.62966,0.56015,0.56615,0.58877,0.46404
AllyBee43,0.65696,0.55958,0.56779,0.58149,0.45203
AllyandBill,0.65213,0.56505,0.57136,0.59126,0.45273
Almousa,0.63665,0.56132,0.5638,0.58565,0.46456
Aloushka,0.64553,0.57156,0.57034,0.58302,0.44115
Altaskibum,0.63626,0.5573,0.56623,0.58889,0.4618
Alverson,0.64821,0.56021,0.56669,0.58133,0.4552
AlvinTSingapore,0.64209,0.55463,0.56563,0.58389,0.46083
Alxon,0.65318,0.56196,0.56752,0.58331,0.45672
Alycidon,0.65036,0.55746,0.56712,0.58372,0.45517
AlysonSP,0.64536,0.55378,0.56349,0.5832,0.464
Aman-India,0.63545,0.57123,0.56781,0.589,0.4605
Amarone61,0.63894,0.55339,0.56479,0.58481,0.46279
Amaryllis2011,0.65712,0.56629,0.5692,0.58569,0.4487
Amber9,0.64513,0.55335,0.56286,0.58356,0.46612
Americk,0.65005,0.56988,0.56998,0.5885,0.45115
Amerisam,0.64279,0.55853,0.56651,0.58436,0.45966
Amesthyite,0.64527,0.55634,0.5655,0.58196,0.45919
Amigolovelyhair,0.65945,0.56432,0.56875,0.58502,0.45187
AmoreBella,0.64444,0.57286,0.57035,0.59002,0.45568
AmyKinPhX,0.64903,0.56114,0.5673,0.58282,0.4544
AmyL55,0.64637,0.56164,0.56824,0.58524,0.45312
Amyksholiday,0.64091,0.55839,0.56719,0.58742,0.45745
Ana005,0.63884,0.55694,0.56525,0.58377,0.46175
AnaS1,0.65115,0.55923,0.56535,0.5785,0.45724
Analisa,0.63934,0.56166,0.56532,0.57859,0.45739
AnarKhaos,0.64469,0.55707,0.56544,0.58303,0.46033
Anarusso01,0.63715,0.56334,0.56793,0.59129,0.45956
Andariego,0.65217,0.56146,0.56841,0.58524,0.45435
AndiJ_AJ,0.64579,0.55641,0.56547,0.58087,0.45632
Andrea13,0.63876,0.55681,0.56712,0.5902,0.4623
Andrea63,0.65361,0.56397,0.5705,0.58852,0.45119
Andrey_Buzin,0.65473,0.56704,0.5698,0.58661,0.45149
Andriegel,0.63949,0.5501,0.56531,0.5833,0.46043
AndyCatChilliwack,0.64858,0.55905,0.56731,0.58472,0.45401
AndyChiara,0.65002,0.55739,0.56596,0.58407,0.45789
AndyOEastYorkshire,0.65224,0.54835,0.56031,0.56931,0.46302
Andy_from_Oz,0.64367,0.5585,0.56402,0.57574,0.45787
Andysa59,0.65569,0.56624,0.57147,0.59036,0.4503
Anecdotal,0.64871,0.56101,0.56758,0.58613,0.45658
Angel84India,0.64474,0.5525,0.56375,0.57999,0.46194
AngelFishLush,0.64241,0.56006,0.56727,0.58856,0.45691
Angela075,0.64797,0.56592,0.56962,0.58881,0.45294
Angela1702,0.63713,0.57305,0.56753,0.59068,0.45813
AngelaBax,0.64779,0.55793,0.56531,0.57991,0.45575
AngelaDickens,0.65185,0.56581,0.56938,0.58912,0.45222
AngelenePenguin,0.64811,0.55803,0.56726,0.58435,0.45619
Angelschild,0.64211,0.5509,0.56451,0.58724,0.46479
Angey,0.63766,0.55305,0.5632,0.57898,0.46437
AngloIrishRover,0.6448,0.56103,0.56532,0.58094,0.45759
AngusAsh,0.65482,0.56493,0.56924,0.58451,0.451
Anna1834,0.6509,0.55638,0.5661,0.58187,0.45689
AnnaC23,0.64674,0.54784,0.56134,0.57735,0.46725
AnnaL_10,0.65152,0.56741,0.57164,0.59222,0.4517
AnnaNorlander,0.65092,0.5687,0.56867,0.5827,0.44867
AnnaToni,0.64966,0.55622,0.56579,0.58012,0.45575
Anna_Shaws_Holidays,0.62021,0.54863,0.56053,0.58557,0.47413
Anne154,0.63089,0.55232,0.56195,0.58085,0.46772
Anneks,0.64231,0.5569,0.56551,0.58475,0.46115
Annette7256,0.65248,0.5571,0.56604,0.57879,0.4553
AnnieB08,0.64823,0.55747,0.5684,0.58956,0.4573
AnnieGee_11,0.65568,0.56737,0.5714,0.58798,0.45203
AnnieHEngland,0.64612,0.55913,0.56707,0.58564,0.45559
AnnieW69,0.64594,0.55991,0.56819,0.58892,0.45733
AnniiL,0.64449,0.56051,0.56668,0.58422,0.45786
Anon4444,0.6446,0.55785,0.56839,0.58799,0.45726
Anon_Contributor,0.65444,0.55748,0.56832,0.58601,0.45459
AnotherNIteOnTheRoad,0.64183,0.55951,0.56769,0.58914,0.45948
Anrmd,0.64356,0.55855,0.56823,0.58894,0.45869
AnshumanGoyal,0.63905,0.56728,0.56719,0.5857,0.45907
Antoinette78,0.6352,0.55589,0.56269,0.5827,0.46461
Antonius-Pax,0.6532,0.56436,0.56785,0.58126,0.452
Antsy280,0.6421,0.55907,0.56709,0.58949,0.45894
AnupMehta,0.65695,0.59405,0.57478,0.5936,0.46737
Aprile_24,0.66003,0.56263,0.57012,0.58679,0.45259
Aquaplsh,0.64503,0.55783,0.56712,0.5867,0.4582
Aquarian_Mermaid,0.64427,0.55366,0.56522,0.58391,0.46113
AradhanaVerma,0.64807,0.56145,0.56736,0.58573,0.45737
Arandale,0.65334,0.55435,0.56551,0.58165,0.46076
Archerandchewy,0.64767,0.56263,0.5684,0.58555,0.45561
ArcheryFamily-NJ,0.64544,0.56,0.56731,0.58636,0.45818
Arilh,0.6585,0.56323,0.56868,0.57996,0.44643
Arlette004,0.65285,0.57169,0.57185,0.59126,0.45061
Armymed,0.64694,0.55806,0.56553,0.58173,0.45772
ArnaudLondon75,0.64659,0.56197,0.56744,0.58585,0.45777
Arnie_MD,0.63571,0.55847,0.56576,0.59062,0.46578
ArtRussianMom,0.64549,0.57277,0.57247,0.59161,0.44841
Arthur010,0.65877,0.55867,0.56697,0.58098,0.45498
ArthurCBirmingham,0.64541,0.55534,0.56514,0.58473,0.46276
AryanaToronto,0.63756,0.55359,0.56441,0.58272,0.46216
AsexualSydney,0.63844,0.55966,0.56415,0.58079,0.45899
Ashiyadudeman,0.63664,0.55773,0.56509,0.58342,0.46224
AshleyDCandBrussels,0.64889,0.56777,0.57047,0.59082,0.45282
AskPranav,0.63867,0.55791,0.56711,0.58856,0.4623
AskingForHelp,0.65373,0.55691,0.56934,0.58893,0.45395
AspiringFoodie,0.65168,0.56204,0.56896,0.58645,0.45316
AsquareIU,0.64187,0.55851,0.56742,0.58855,0.45921
AstonUk,0.64227,0.55023,0.56307,0.58184,0.464
Astra29,0.6398,0.5428,0.55693,0.57,0.47459
Astrid72,0.64575,0.55993,0.5683,0.58728,0.45507
Atena,0.64387,0.55695,0.5669,0.58743,0.45856
Atl30309,0.65309,0.56657,0.56983,0.5847,0.45099
Atlanta_Ga_Doorman,0.63853,0.55592,0.56506,0.58666,0.46257
AtoZHouston,0.6427,0.56743,0.56943,0.59082,0.45404
AtomicTraveller,0.64405,0.5514,0.56297,0.57937,0.46314
AttitudeAdjuster,0.64339,0.55473,0.56341,0.57655,0.46053
Audi268,0.64001,0.56412,0.57134,0.59543,0.45553
Auli51,0.64913,0.56441,0.56881,0.58487,0.45265
AusBeagle,0.64762,0.55886,0.5665,0.58267,0.45649
AusTravellerSydney,0.6473,0.55856,0.56712,0.58523,0.45845
AusTripPlanner,0.64961,0.56251,0.56779,0.58233,0.45348
AusfamItaly,0.6508,0.56287,0.56786,0.58315,0.45204
Aussie067,0.64055,0.56475,0.56785,0.58857,0.46051
AussieTraveller1983,0.6377,0.5532,0.56446,0.58499,0.46512
Aussie_Andrew,0.64591,0.55531,0.56384,0.57639,0.45933
